Date,AAPL,ABT,ACN,ADBE,AMGN,AMZN,AVGO,BAC,BMY,CAT,COST,CRM,CSCO,CVX,DIS,GE,GOOG,HD,HON,IBM,INTC,JPM,KO,LIN,LLY,LOW,MA,MCD,MDT,META,MRK,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,QCOM,SBUX,T,TMO,TSLA,TXN,UNH,V,VZ,WMT,XOM
2015-01-02,24.3204345703125,36.744815826416016,74.62397766113281,72.33999633789062,119.2630615234375,15.425999641418457,7.605640888214111,14.441473007202148,42.92716979980469,69.77423858642578,114.60496520996094,58.81854248046875,20.055145263671875,72.65836334228516,86.31002044677734,102.97286987304688,26.045291900634766,81.37753295898438,77.29737854003906,99.99210357666016,27.89645767211914,47.174259185791016,30.437501907348633,107.39825439453125,57.805824279785156,56.06254196166992,80.31996154785156,71.90370178222656,55.96607971191406,78.08200073242188,39.882354736328125,40.07212829589844,20.48892593383789,49.84857177734375,42.14032745361328,0.483099102973938,69.97862243652344,19.71523094177246,67.44158172607422,55.253299713134766,33.34545135498047,11.90109634399414,124.25411224365234,14.620667457580566,40.542476654052734,86.1926040649414,61.67288589477539,27.467031478881836,23.37729263305664,59.510215759277344
2015-01-05,23.635286331176758,36.75297927856445,73.36402893066406,71.9800033569336,117.8458251953125,15.10949993133545,7.484063625335693,14.021949768066406,42.25632095336914,66.09110260009766,113.30203247070312,57.75614929199219,19.655637741088867,69.75405883789062,85.04875183105469,101.08272552490234,25.50235939025879,79.67021942138672,75.82438659667969,98.41877746582031,27.58189582824707,45.709747314453125,30.437501907348633,104.56351470947266,57.236507415771484,54.72100830078125,78.06074523925781,71.10955810546875,55.73250961303711,76.82791900634766,40.47511291503906,39.703636169433594,20.271913528442383,47.31142807006836,41.46186065673828,0.47493934631347656,69.45252227783203,19.608259201049805,67.12091827392578,54.99296188354492,32.706703186035156,11.788652420043945,122.54722595214844,14.005999565124512,39.91326904296875,84.77287292480469,60.31153106689453,27.23892593383789,23.309263229370117,57.88193130493164
2015-01-06,23.63750648498535,36.335628509521484,72.8348159790039,70.52999877929688,114.0491714477539,14.76449966430664,7.313848972320557,13.602417945861816,42.18418502807617,65.66581726074219,114.79920959472656,56.79304885864258,19.64837074279785,69.72178649902344,84.59762573242188,98.90491485595703,24.91128921508789,79.42628479003906,75.64700317382812,96.2962875366211,27.067840576171875,44.5245246887207,30.66864013671875,103.22466278076172,57.52530288696289,54.84523010253906,77.89197540283203,71.24063110351562,55.452213287353516,75.79279327392578,42.06510543823242,39.12089157104492,20.350650787353516,46.50143051147461,41.21795654296875,0.4605400860309601,68.92640686035156,19.77186393737793,66.81517791748047,54.21190643310547,32.4405632019043,11.80622386932373,121.40281677246094,14.085332870483398,39.253726959228516,84.6018295288086,59.92289733886719,27.513835906982422,23.48887825012207,57.57420349121094
2015-01-07,23.968961715698242,36.630245208740234,74.36360168457031,71.11000061035156,118.03231048583984,14.920999526977539,7.511415004730225,13.66696548461914,42.732398986816406,66.68341827392578,116.7981948852539,56.52497482299805,19.829971313476562,69.66372680664062,85.4630355834961,98.94602966308594,24.86861228942871,82.14859008789062,76.19456481933594,95.66688537597656,27.63560676574707,44.59246063232422,31.051448822021484,104.38168334960938,57.12098693847656,56.476585388183594,79.10363006591797,72.48193359375,56.838130950927734,75.79279327392578,42.9647102355957,39.617942810058594,20.53693199157715,46.74285888671875,42.069374084472656,0.45933997631073,70.94189453125,20.042449951171875,67.16565704345703,54.84418869018555,33.23897933959961,11.875057220458984,125.0396728515625,14.063332557678223,39.95875549316406,85.46562194824219,60.72575759887695,27.33628273010254,24.112085342407227,58.157588958740234
2015-01-08,24.889904022216797,37.383140563964844,75.4975357055664,72.91999816894531,117.60712432861328,15.02299976348877,7.8867974281311035,13.949341773986816,43.79998779296875,67.36687469482422,117.80169677734375,58.17316436767578,19.982507705688477,71.25785827636719,86.34683227539062,100.13762664794922,24.947023391723633,83.966064453125,77.58275604248047,97.74628448486328,28.14963150024414,45.58893966674805,31.42704963684082,106.1007308959961,58.474143981933594,57.66905212402344,80.33399200439453,72.7518081665039,58.20068359375,77.81327056884766,43.829437255859375,40.78343200683594,20.661758422851562,47.779998779296875,43.040504455566406,0.47661933302879333,72.23123168945312,20.45148277282715,67.93370819091797,55.424407958984375,33.77537536621094,11.993202209472656,126.33926391601562,14.041333198547363,40.6107063293457,89.5451889038086,61.540225982666016,27.922191619873047,24.621002197265625,59.1255989074707
2015-01-09,24.916601181030273,36.99032211303711,75.41355895996094,71.83999633789062,116.16007995605469,14.846500396728516,7.97114372253418,13.699230194091797,43.511451721191406,66.56193542480469,115.98888397216797,57.74622344970703,20.185890197753906,69.83798217773438,86.77032470703125,98.74053955078125,24.623945236206055,82.5262680053711,76.29483795166016,98.17198181152344,28.203357696533203,44.79627990722656,31.080341339111328,104.67095184326172,57.69856262207031,56.584259033203125,79.31024932861328,71.8651123046875,57.928165435791016,77.37532806396484,43.627193450927734,40.44063186645508,20.47931480407715,47.04142761230469,42.5660285949707,0.47853928804397583,71.74214935302734,20.54587173461914,67.29988861083984,55.357444763183594,32.66986083984375,11.957401275634766,125.83494567871094,13.77733325958252,40.633460998535156,88.70704650878906,60.62800979614258,27.673616409301758,24.316194534301758,59.042259216308594
2015-01-12,24.302631378173828,37.30130386352539,75.18678283691406,71.12000274658203,116.52554321289062,14.570500373840332,7.838924884796143,13.457194328308105,44.8531494140625,65.9847640991211,115.34143829345703,57.31927490234375,20.374740600585938,68.33419799804688,86.96367645263672,98.53511047363281,24.444290161132812,82.15644836425781,75.92466735839844,96.52457427978516,28.080598831176758,44.41130065917969,30.79863929748535,104.4395523071289,57.27774429321289,56.18675994873047,78.29585266113281,71.71095275878906,57.982669830322266,76.36012268066406,43.44587707519531,39.93501281738281,20.42746925354004,45.547142028808594,42.50838851928711,0.4725395441055298,71.4457778930664,20.62139129638672,67.05382537841797,54.72517776489258,32.85002899169922,11.989617347717285,124.62266540527344,13.480667114257812,40.269561767578125,87.7063980102539,60.50933074951172,27.863004684448242,24.49852752685547,57.90758514404297
2015-01-13,24.518417358398438,36.70073699951172,75.45557403564453,70.58999633789062,115.71997833251953,14.737000465393066,7.7948527336120605,13.27163314819336,45.531219482421875,65.58988952636719,114.18412017822266,57.55757522583008,20.41107177734375,67.24993133544922,87.63573455810547,98.04200744628906,24.62444305419922,81.61356353759766,76.46450805664062,96.75285339355469,28.003862380981445,44.418846130371094,30.791427612304688,103.72052001953125,57.244747161865234,56.19504165649414,78.47431945800781,71.5721664428711,56.67460250854492,76.09137725830078,43.36917495727539,39.729347229003906,20.508129119873047,46.255714416503906,42.13145446777344,0.47181957960128784,71.39391326904297,20.413726806640625,67.33718872070312,54.27885055541992,33.112064361572266,11.989617347717285,124.46746826171875,13.616666793823242,40.01940155029297,88.15115356445312,60.686187744140625,27.922191619873047,24.305313110351562,57.696006774902344
2015-01-14,24.424985885620117,36.42924880981445,74.57359313964844,69.98999786376953,115.73493957519531,14.66349983215332,7.8564043045043945,12.940853118896484,45.40857696533203,65.36205291748047,112.7435531616211,56.84269332885742,20.280323028564453,67.05631256103516,86.75193786621094,97.71328735351562,24.85719871520996,80.7559814453125,76.10973358154297,96.12969207763672,27.888792037963867,42.88637161254883,30.740856170654297,102.96841430664062,57.55826187133789,55.80582046508789,78.3897933959961,70.5775375366211,55.88043975830078,75.92218017578125,43.6829833984375,39.386558532714844,20.63487434387207,46.31999969482422,41.55498504638672,0.4737395942211151,71.6310043334961,20.438899993896484,67.10600280761719,53.720985412597656,32.92780685424805,11.932341575622559,122.39204406738281,12.845999717712402,39.95875549316406,88.37349700927734,59.471439361572266,27.79789924621582,23.570518493652344,57.52934646606445
2015-01-15,23.7620792388916,36.157752990722656,74.06119537353516,70.29000091552734,113.31815338134766,14.34749984741211,7.699108123779297,12.263154029846191,44.456424713134766,64.55814361572266,112.7435531616211,54.717918395996094,19.909870147705078,66.26250457763672,86.8624038696289,96.8914794921875,24.90285301208496,79.47350311279297,74.89124298095703,95.37078857421875,27.766033172607422,41.5124397277832,30.610841751098633,102.86927032470703,57.54179763793945,54.94459533691406,77.25328826904297,70.45419311523438,55.981651306152344,73.70263671875,43.152992248535156,38.97520446777344,20.556135177612305,46.25143051147461,41.155879974365234,0.47037962079048157,71.6310043334961,20.3885498046875,67.00906372070312,53.09614181518555,32.58386993408203,11.907279014587402,120.38447570800781,12.791333198547363,39.71617126464844,89.33993530273438,58.90596389770508,27.87484359741211,23.78006935119629,57.029296875
